"pitcher","pithand","pit_kpct","pit_fbpct","pit_1Bpct","pit_2Bpct","pit_3Bpct","pit_HRpct","pit_ipoutpct","pit_pa","last","first","nickname","name"
"waldh001","R",0.0833333333333333,0.25,0.138888888888889,0.0277777777777778,0,0.0833333333333333,0.416666666666667,36,"Waldrep","Hurston Wayne","Hurston","Hurston Waldrep"
"englm001","R",0.172043010752688,0.0645161290322581,0.0967741935483871,0.0967741935483871,0.010752688172043,0.043010752688172,0.516129032258065,93,"Englert","Mason Alexander","Mason","Mason Englert"
"jeffd001","R",0.164383561643836,0.0684931506849315,0.136986301369863,0.123287671232877,0.0136986301369863,0.0547945205479452,0.438356164383562,73,"Jefferies","Daulton Compton","Daulton","Daulton Jefferies"
"skenp001","R",0.330739299610895,0.0739299610894942,0.134241245136187,0.0272373540856031,0.00194552529182879,0.0194552529182879,0.412451361867704,514,"Skenes","Paul David","Paul","Paul Skenes"
"faltb001","L",0.164685908319185,0.0764006791171477,0.146010186757216,0.0577249575551783,0.00169779286926995,0.0288624787775891,0.524617996604414,589,"Falter","Bailey","Bailey","Bailey Falter"
"suarr001","L",0.231629392971246,0.073482428115016,0.146964856230032,0.0511182108626198,0.00319488817891374,0.0223642172523962,0.471246006389776,626,"Suarez","Ranger Jose","Ranger","Ranger Suarez"
"mercm002","R",0.15625,0.15625,0.078125,0.03125,0,0.140625,0.4375,64,"Mercado","David Michael","Michael","Michael Mercado"
"philt002","R",0.175,0.05625,0.18125,0.04375,0,0.05625,0.4875,160,"Phillips","Tyler Nicholas","Tyler","Tyler Phillips"
"montf001","R",0.225954198473282,0.109923664122137,0.132824427480916,0.0427480916030534,0.00152671755725191,0.0366412213740458,0.450381679389313,655,"Montas","Francelis (Luna)","Frankie","Frankie Montas"
"molls001","L",0.25,0.105263157894737,0.125,0.0263157894736842,0.00657894736842105,0.0197368421052632,0.467105263157895,152,"Moll","Samuel John","Sam","Sam Moll"
"santt001","R",0.377049180327869,0.0737704918032787,0.114754098360656,0.0245901639344262,0,0.0327868852459016,0.377049180327869,122,"Santillan","Antonio","Tony","Tony Santillan"
"meyem001","R",0.185483870967742,0.0887096774193548,0.112903225806452,0.0725806451612903,0.00806451612903226,0.0564516129032258,0.475806451612903,248,"Meyer","Max Thomas","Max","Max Meyer"
"ramie006","R",0.228260869565217,0.119565217391304,0.108695652173913,0.0652173913043478,0.0217391304347826,0.0326086956521739,0.423913043478261,92,"Ramirez","Emmanuel Odalis","Emmanuel","Emmanuel Ramirez"
"sorig001","R",0.221374045801527,0.129770992366412,0.083969465648855,0.0687022900763359,0,0.0534351145038168,0.442748091603053,131,"Soriano","George","George","George Soriano"
"bellv001","R",0.149152542372881,0.0779661016949153,0.132203389830508,0.0474576271186441,0.00338983050847458,0.0508474576271186,0.538983050847458,295,"Bellozo","Valente","Valente","Valente Bellozo"
"tylek001","R",0.176056338028169,0.133802816901408,0.211267605633803,0.0211267605633803,0,0.028169014084507,0.429577464788732,142,"Tyler","Kyle Wade","Kyle","Kyle Tyler"
"tinoj001","R",0.259259259259259,0.0925925925925926,0.123456790123457,0.0185185185185185,0.00617283950617284,0.0185185185185185,0.481481481481481,162,"Tinoco","Jesus Rafael","Jesus","Jesus Tinoco"
"cabre003","R",0.255980861244019,0.131578947368421,0.129186602870813,0.0287081339712919,0.00239234449760766,0.0358851674641148,0.416267942583732,418,"Cabrera","Edward Brany","Edward","Edward Cabrera"
"rea-c001","R",0.189075630252101,0.0742296918767507,0.147058823529412,0.046218487394958,0.00280112044817927,0.0406162464985994,0.5,714,"Rea","Colin David","Colin","Colin Rea"
"doddd001","L",0.222222222222222,0.111111111111111,0.333333333333333,0.111111111111111,0,0,0.222222222222222,9,"Dodd","Dylan Martin","Dylan","Dylan Dodd"
"dunsp001","R",0.214285714285714,0.214285714285714,0.0714285714285714,0.0714285714285714,0,0.142857142857143,0.285714285714286,14,"Dunshee","Parker Edward","Parker","Parker Dunshee"
"wilsb003","R",0.18552036199095,0.0791855203619909,0.160633484162896,0.0203619909502262,0.00452488687782805,0.0452488687782805,0.504524886877828,442,"Wilson","Bryse Everett","Bryse","Bryse Wilson"
