"batter","bathand","bat_kpct","bat_fbpct","bat_1Bpct","bat_2Bpct","bat_3Bpct","bat_HRpct","bat_ipoutpct","bat_pa"
"ramob001","R",0.203703703703704,0.0648148148148148,0.12037037037037,0.037037037037037,0,0.0277777777777778,0.546296296296296,108
"sosal001","R",0.208672086720867,0.040650406504065,0.184281842818428,0.035230352303523,0,0.021680216802168,0.509485094850949,369
"vargm001","R",0.240506329113924,0.118143459915612,0.080168776371308,0.029535864978903,0,0.0210970464135021,0.510548523206751,237
"robic003","R",0.263157894736842,0.0789473684210526,0.118421052631579,0,0,0,0.539473684210526,76
"amayj001","R",0.388888888888889,0.0555555555555556,0.152777777777778,0.0138888888888889,0,0,0.388888888888889,72
"lopen001","L",0.150561797752809,0.0921348314606742,0.179775280898876,0.0269662921348315,0.00674157303370787,0.00224719101123596,0.541573033707865,445
"sheeg001","L",0.211576846307385,0.093812375249501,0.139720558882236,0.0479041916167665,0.00199600798403194,0.0199600798403194,0.48502994011976,501
"fletd003","L",0.240663900414938,0.0580912863070539,0.153526970954357,0.033195020746888,0,0.004149377593361,0.510373443983402,241
"lee-k002","R",0.309644670050761,0.0431472081218274,0.131979695431472,0.0355329949238579,0.00253807106598985,0.0304568527918782,0.446700507614213,394
"moncy001","B",0.244444444444444,0.111111111111111,0.155555555555556,0.0666666666666667,0.0222222222222222,0,0.4,45
"durae002","R",0.221052631578947,0.056140350877193,0.182456140350877,0.0385964912280702,0,0.0105263157894737,0.491228070175439,285
"duffm002","R",0.1,0.3,0.2,0,0,0,0.4,10
"harrd003","L",0.285714285714286,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,7
"ornej001","R",0.325,0.05,0.15,0.05,0,0,0.425,40
"jonen002","L",0.306397306397306,0.124579124579125,0.138047138047138,0.0437710437710438,0.00336700336700337,0.0101010101010101,0.373737373737374,297
"martk001","B",0.181818181818182,0.120068610634648,0.147512864493997,0.039451114922813,0.00343053173241852,0.0617495711835334,0.445969125214408,583
"carrc005","L",0.190058479532164,0.121345029239766,0.114035087719298,0.0321637426900585,0.0204678362573099,0.0321637426900585,0.489766081871345,684
"gurrl001","R",0.182640144665461,0.0632911392405063,0.182640144665461,0.0397830018083183,0.00361663652802893,0.0325497287522604,0.495479204339964,553
"walkc002","R",0.240942028985507,0.117753623188406,0.123188405797101,0.0471014492753623,0,0.0471014492753623,0.423913043478261,552
"moreg001","R",0.148148148148148,0.122507122507123,0.162393162393162,0.0512820512820513,0.00284900284900285,0.0142450142450142,0.498575498575499,351
"monte001","R",0.226720647773279,0.0809716599190283,0.129554655870445,0.0404858299595142,0,0.0161943319838057,0.506072874493927,247
"suare001","R",0.275,0.090625,0.134375,0.04375,0.003125,0.046875,0.40625,640
"alexb001","R",0.264864864864865,0.0972972972972973,0.167567567567568,0.0378378378378378,0,0.0162162162162162,0.416216216216216,185
"thoma004","L",0.16504854368932,0.0679611650485437,0.087378640776699,0.0485436893203883,0.00970873786407767,0.029126213592233,0.592233009708738,103
"perdg001","B",0.149484536082474,0.100515463917526,0.170103092783505,0.0541237113402062,0.00515463917525773,0.0077319587628866,0.512886597938144,388
"pedej001","L",0.233853006681514,0.162583518930958,0.133630289532294,0.0378619153674833,0.0022271714922049,0.0512249443207127,0.378619153674833,449
"barnt001","L",0.322916666666667,0.135416666666667,0.114583333333333,0.03125,0,0,0.395833333333333,96
"mccaj003","L",0.157575757575758,0.0909090909090909,0.197979797979798,0.0262626262626263,0.0141414141414141,0.0161616161616162,0.496969696969697,495
"cabro002","L",0.294117647058824,0,0.235294117647059,0.0588235294117647,0,0,0.411764705882353,17
"barrj004","B",0.111111111111111,0,0.0555555555555556,0.111111111111111,0,0,0.722222222222222,18
"petej002","L",0.230769230769231,0.115384615384615,0.0384615384615385,0,0,0,0.615384615384615,26
"grist001","L",0.272727272727273,0.124401913875598,0.0813397129186603,0.0382775119617225,0,0.0430622009569378,0.440191387559809,209
"bertj001","R",0.189189189189189,0.0945945945945946,0.22972972972973,0,0,0.0135135135135135,0.472972972972973,74
"mcgos001","R",1,0,0,0,0,0,0,1
"contw001","R",0.268156424581006,0.159217877094972,0.131284916201117,0.0474860335195531,0,0.0418994413407821,0.35195530726257,358
"walkj003","R",0.280898876404494,0.0674157303370786,0.0955056179775281,0.0561797752808989,0.00561797752808989,0.0280898876404494,0.466292134831461,178
"scotv001","L",0.270967741935484,0.0516129032258065,0.0967741935483871,0.0580645161290323,0,0.0129032258064516,0.509677419354839,155
"gricr001","R",0.164874551971326,0.0824372759856631,0.14336917562724,0.0716845878136201,0.00716845878136201,0.043010752688172,0.487455197132616,279
"newmk001","R",0.154340836012862,0.0482315112540193,0.189710610932476,0.0546623794212219,0.00321543408360129,0.00964630225080386,0.540192926045016,311
"crawb001","L",0.325,0.1125,0.075,0.0625,0,0.0125,0.4125,80
"happi001","B",0.255707762557078,0.13089802130898,0.117199391171994,0.0517503805175038,0.0030441400304414,0.0380517503805175,0.403348554033486,657
"swand001","R",0.24283305227656,0.0944350758853288,0.141652613827993,0.045531197301855,0.00337268128161889,0.0269814502529511,0.445193929173693,593
"bellc002","L",0.156414762741652,0.0843585237258348,0.163444639718805,0.0404217926186292,0.00527240773286467,0.031634446397188,0.518453427065026,569
"morec001","R",0.260229132569558,0.11620294599018,0.114566284779051,0.0180032733224223,0.00490998363338789,0.0343698854337152,0.451718494271686,611
"buscm003","L",0.285714285714286,0.118165784832451,0.126984126984127,0.0493827160493827,0.00352733686067019,0.037037037037037,0.379188712522046,567
"coopg002","R",0.301724137931034,0.0775862068965517,0.129310344827586,0.0431034482758621,0.00862068965517241,0.00862068965517241,0.431034482758621,116
"hoern001","R",0.102964118564743,0.0873634945397816,0.180967238689548,0.0546021840873635,0.0015600624024961,0.0109204368174727,0.561622464898596,641
"taucm001","L",0.2,0.145714285714286,0.154285714285714,0.0342857142857143,0.00285714285714286,0.02,0.442857142857143,350
"amaym001","R",0.170798898071625,0.0743801652892562,0.146005509641873,0.0358126721763085,0.00550964187327824,0.0220385674931129,0.545454545454545,363
